alias_key,alias_display,code,iso_a3
naxcivan,Naxcivan,AZE048,AZE
nukha,Nukha,AZE059,AZE
sheki,Sheki,AZE059,AZE
shamakha,Shamakha,AZE060,AZE
shemakha,Shemakha,AZE060,AZE
sumgayit,Sumgayit,AZE066,AZE
yevlax,Yevlax,AZE071,AZE
zakatala,Zakatala,AZE072,AZE
bujumbura city,Bujumbura City,BDI002,BDI
bujumbura mairie,Bujumbura Mairie,BDI002,BDI
brussels capital region,Brussels Capital Region,BEL001,BEL
brussels-capital region,Brussels-Capital Region,BEL001,BEL
wallonia,Wallonia,BEL002,BEL
walloon region,Walloon Region,BEL002,BEL
flanders,Flanders,BEL003,BEL
flemish region,Flemish Region,BEL003,BEL
centre-east,Centre-East,BFA004,BFA
centre-north,Centre-North,BFA005,BFA
centre-west,Centre-West,BFA006,BFA
centre-south,Centre-South,BFA007,BFA
upper basins,Upper Basins,BFA009,BFA
central plateau,Central Plateau,BFA011,BFA
south-west,South-West,BFA013,BFA
chittagong,Chittagong,BGD002,BGD
dacca,Dacca,BGD003,BGD
rajshahi division,Rajshahi Division,BGD006,BGD
yambol,Yambol,BGR006,BGR
kyustendil,Kyustendil,BGR008,BGR
rousse,Rousse,BGR016,BGR
smolyan,Smolyan,BGR020,BGR
sofia city,Sofia City,BGR022,BGR
sofia city province,Sofia City Province,BGR022,BGR
veliko turnovo,Veliko Turnovo,BGR026,BGR
vratsa,Vratsa,BGR028,BGR
central governorate,Central Governorate,BHR001,BHR
capital governorate,Capital Governorate,BHR007,BHR
muharraq governorate,Muharraq Governorate,BHR008,BHR
northern governorate,Northern Governorate,BHR009,BHR
southern governorate,Southern Governorate,BHR012,BHR
federation of bih,Federation of BiH,BIH001,BIH
serb republic,Serb Republic,BIH002,BIH
homyel,Homyel,BLR002,BLR
hrodna,Hrodna,BLR003,BLR
mahilyow,Mahilyow,BLR006,BLR
vitsebsk,Vitsebsk,BLR007,BLR
brasilia,Brasilia,BRA007,BRA
federal district,Federal District,BRA007,BRA
mongar,Mongar,BTN007,BTN
tashigang,Tashigang,BTN015,BTN
tashiyangtse,Tashiyangtse,BTN016,BTN
trashi yangtse,Trashi Yangtse,BTN016,BTN
wangdi phodrang,Wangdi Phodrang,BTN019,BTN
wangdue phodrang,Wangdue Phodrang,BTN019,BTN
ghanzi district,Ghanzi District,BWA003,BWA
kalahari,Kalahari,BWA004,BWA
okavango,Okavango,BWA007,BWA
equator,Equator,CAF002,CAF
appenzell outer rhodes,Appenzell Outer Rhodes,CHE002,CHE
appenzell inner rhodes,Appenzell Inner Rhodes,CHE003,CHE
basel land,Basel Land,CHE004,CHE
basel-country,Basel-Country,CHE004,CHE
basel city,Basel City,CHE005,CHE
freiburg,Freiburg,CHE007,CHE
geneva,Geneva,CHE008,CHE
grisons,Grisons,CHE010,CHE
lucerne,Lucerne,CHE012,CHE
saint gallen,Saint Gallen,CHE016,CHE
st gallen,St Gallen,CHE016,CHE
st. gallen,St. Gallen,CHE016,CHE
wallis,Wallis,CHE023,CHE
aysen,Aysén,CHL001,CHL
aysen region,Aysén Region,CHL001,CHL
o'higgins region,O'Higgins Region,CHL008,CHL
metropolitan region,Metropolitan Region,CHL013,CHL
santiago metropolitan region,Santiago Metropolitan Region,CHL013,CHL
canton province,Canton Province,CHN006,CHN
guangxi zhuang autonomous region,Guangxi Zhuang Autonomous Region,CHN007,CHN
ningxia hui autonomous region,Ningxia Hui Autonomous Region,CHN020,CHN
szechuan,Szechuan,CHN026,CHN
szechwan,Szechwan,CHN026,CHN
xinjiang uyghur autonomous region,Xinjiang Uyghur Autonomous Region,CHN028,CHN
tibet,Tibet,CHN029,CHN
tibet autonomous region,Tibet Autonomous Region,CHN029,CHN
mountains,Mountains,CIV031,CIV
savannas,Savannas,CIV033,CIV
bandama valley,Bandama Valley,CIV034,CIV
far north,Far North,CMR004,CMR
south west,South West,CMR010,CMR
north kivu,North Kivu,COD009,COD
south kivu,South Kivu,COD011,COD
equator province,Equator Province,COD013,COD
upper katanga,Upper Katanga,COD014,COD
upper lomami,Upper Lomami,COD015,COD
upper uele,Upper Uele,COD016,COD
central kasai,Central Kasai,COD019,COD
eastern kasai,Eastern Kasai,COD020,COD
pointe-noire,Pointe-Noire,COG010,COG
bogota dc,Bogota DC,COL006,COL
cauca department,Cauca Department,COL012,COL
huila department,Huila Department,COL019,COL
la guajira department,La Guajira Department,COL020,COL
north santander,North Santander,COL024,COL
cauca valley,Cauca Valley,COL031,COL
havana,Havana,CUB008,CUB
nicosia,Nicosia,CYP001,CYP
kyrenia,Kyrenia,CYP002,CYP
famagusta,Famagusta,CYP003,CYP
larnaca,Larnaca,CYP004,CYP
limassol,Limassol,CYP005,CYP
paphos,Paphos,CYP006,CYP
south bohemia,South Bohemia,CZE001,CZE
south bohemian region,South Bohemian Region,CZE001,CZE
south moravia,South Moravia,CZE002,CZE
south moravian region,South Moravian Region,CZE002,CZE
prague,Prague,CZE003,CZE
north bohemia,North Bohemia,CZE004,CZE
north bohemian region,North Bohemian Region,CZE004,CZE
north moravia,North Moravia,CZE005,CZE
north moravian region,North Moravian Region,CZE005,CZE
central bohemia,Central Bohemia,CZE006,CZE
central bohemian region,Central Bohemian Region,CZE006,CZE
east bohemia,East Bohemia,CZE007,CZE
east bohemian region,East Bohemian Region,CZE007,CZE
west bohemia,West Bohemia,CZE008,CZE
west bohemian region,West Bohemian Region,CZE008,CZE
baden-wurttemberg,Baden-Württemberg,DEU001,DEU
bavaria,Bavaria,DEU002,DEU
hesse,Hesse,DEU007,DEU
mecklenburg-western pomerania,Mecklenburg-Western Pomerania,DEU008,DEU
lower saxony,Lower Saxony,DEU009,DEU
north rhine-westphalia,North Rhine-Westphalia,DEU010,DEU
rhineland-palatinate,Rhineland-Palatinate,DEU011,DEU
saxony,Saxony,DEU013,DEU
saxony-anhalt,Saxony-Anhalt,DEU014,DEU
thuringia,Thuringia,DEU016,DEU
ali sabieh,Ali Sabieh,DJI001,DJI
dikhil,Dikhil,DJI002,DJI
northern jutland,Northern Jutland,DNK003,DNK
national district,National District,DOM005,DOM
el seybo,El Seybo,DOM007,DOM
maria trinidad sanchez,Maria Trinidad Sanchez,DOM015,DOM
hermanas mirabal,Hermanas Mirabal,DOM022,DOM
algiers,Algiers,DZA004,DZA
msila,Msila,DZA026,DZA
souk ahras,Souk Ahras,DZA040,DZA
santo domingo de los colorados,Santo Domingo de los Colorados,ECU023,ECU
el iskandariyah,El Iskandariyah,EGY001,EGY
assyut,Assyut,EGY002,EGY
asyut,Asyut,EGY002,EGY
asswan,Asswan,EGY003,EGY
al buhayrah,Al Buhayrah,EGY004,EGY
beheira,Beheira,EGY004,EGY
beni sweif,Beni Sweif,EGY005,EGY
ad daqahliyah,Ad Daqahliyah,EGY007,EGY
daqahliyya,Daqahliyya,EGY007,EGY
faiyum,Faiyum,EGY009,EGY
fayyum,Fayyum,EGY009,EGY
al gharbiyah,Al Gharbiyah,EGY010,EGY
gharbiyya,Gharbiyya,EGY010,EGY
kafr ash-shaykh,Kafr ash-Shaykh,EGY013,EGY
kafr el-sheikh,Kafr el-Sheikh,EGY013,EGY
qaliubiya,Qaliubiya,EGY014,EGY
qalyubia,Qalyubia,EGY014,EGY
luxor governorate,Luxor Governorate,EGY015,EGY
matruh,Matruh,EGY016,EGY
mersa matruh,Mersa Matruh,EGY016,EGY
al minya,Al Minya,EGY017,EGY
minya,Minya,EGY017,EGY
menofia,Menofia,EGY018,EGY
monufia,Monufia,EGY018,EGY
el wadi el gedid,El Wadi El Gedid,EGY019,EGY
wadi al-jadid,Wadi al-Jadid,EGY019,EGY
north sinai governorate,North Sinai Governorate,EGY020,EGY
shamal sina,Shamal Sina,EGY020,EGY
qina,Qina,EGY022,EGY
al sharqiyya,Al Sharqiyya,EGY024,EGY
sharkia,Sharkia,EGY024,EGY
sharqia,Sharqia,EGY024,EGY
sohag,Sohag,EGY027,EGY
southern red sea,Southern Red Sea,ERI004,ERI
northern red sea,Northern Red Sea,ERI007,ERI
andalusia,Andalusia,ESP002,ESP
castile and leon,Castile and Leon,ESP006,ESP
castile-leon,Castile-Leon,ESP006,ESP
castile-la mancha,Castile-La Mancha,ESP007,ESP
catalonia,Catalonia,ESP008,ESP
community of madrid,Community of Madrid,ESP011,ESP
foral community of navarre,Foral Community of Navarre,ESP012,ESP
navarre,Navarre,ESP012,ESP
valencia,Valencia,ESP013,ESP
valencian community,Valencian Community,ESP013,ESP
basque country,Basque Country,ESP018,ESP
principality of asturias,Principality of Asturias,ESP019,ESP
region of murcia,Region of Murcia,ESP020,ESP
harju county,Harju County,EST002,EST
ida-viru county,Ida-Viru County,EST004,EST
jarva county,Järva County,EST005,EST
jogeva county,Jõgeva County,EST006,EST
laane county,Lääne County,EST007,EST
west county,West County,EST007,EST
laane-viru county,Lääne-Viru County,EST008,EST
parnu county,Pärnu County,EST009,EST
polva county,Põlva County,EST010,EST
rapla county,Rapla County,EST011,EST
tartu county,Tartu County,EST013,EST
valga county,Valga County,EST014,EST
viljandi county,Viljandi County,EST015,EST
voru county,Võru County,EST016,EST
addis ababa city administration,Addis Ababa City Administration,ETH001,ETH
benishangul-gumuz,Benishangul-Gumuz,ETH004,ETH
gambella,Gambella,ETH006,ETH
snnpr,SNNPR,ETH010,ETH
southern nations nationalities and peoples region,Southern Nations Nationalities and Peoples Region,ETH010,ETH
"southern nations, nationalities, and peoples region","Southern Nations, Nationalities, and Peoples Region",ETH010,ETH
lappi,Lappi,FIN002,FIN
lower normandy,Lower Normandy,FRA005,FRA
burgundy,Burgundy,FRA006,FRA
brittany,Brittany,FRA007,FRA
upper normandy,Upper Normandy,FRA012,FRA
languedoc-roussillon,Languedoc-Roussillon,FRA014,FRA
loire valley,Loire Valley,FRA019,FRA
picardy,Picardy,FRA020,FRA
provence-alpes-cote d'azur,Provence-Alpes-Cote d'Azur,FRA022,FRA
auvergne-rhone-alpes,Auvergne-Rhône-Alpes,FRA023,FRA
upper ogooue,Upper Ogooue,GAB002,GAB
middle ogooue,Middle Ogooue,GAB003,GAB
north east region,North East Region,GHA015,GHA
central river region north,Central River Region North,GMB002,GMB
central river region south,Central River Region South,GMB003,GMB
bolama-bijagos,Bolama-Bijagos,GNB003,GNB
bissau autonomous sector,Bissau Autonomous Sector,GNB008,GNB
bioko north,Bioko North,GNQ002,GNQ
bioko south,Bioko South,GNQ003,GNQ
central south,Central South,GNQ004,GNQ
south center,South Center,GNQ004,GNQ
attica,Attica,GRC002,GRC
ionian islands,Ionian Islands,GRC005,GRC
epirus,Epirus,GRC006,GRC
peloponnese,Peloponnese,GRC010,GRC
thessaly,Thessaly,GRC012,GRC
barima-waini,Barima-Waini,GUY001,GUY
region 1,Region 1,GUY001,GUY
cuyuni-mazaruni,Cuyuni-Mazaruni,GUY002,GUY
region 7,Region 7,GUY002,GUY
demerara-mahaica,Demerara-Mahaica,GUY003,GUY
region 4,Region 4,GUY003,GUY
east berbice-corentyne,East Berbice-Corentyne,GUY004,GUY
region 6,Region 6,GUY004,GUY
essequibo islands-west demerara,Essequibo Islands-West Demerara,GUY005,GUY
region 3,Region 3,GUY005,GUY
mahaica-berbice,Mahaica-Berbice,GUY006,GUY
region 5,Region 5,GUY006,GUY
pomeroon-supenaam,Pomeroon-Supenaam,GUY007,GUY
region 2,Region 2,GUY007,GUY
potaro-siparuni,Potaro-Siparuni,GUY008,GUY
region 8,Region 8,GUY008,GUY
region 10,Region 10,GUY009,GUY
upper demerara-berbice,Upper Demerara-Berbice,GUY009,GUY
region 9,Region 9,GUY010,GUY
upper takutu-upper essequibo,Upper Takutu-Upper Essequibo,GUY010,GUY
la mosquitia,La Mosquitia,HND008,HND
mosquitia,Mosquitia,HND008,HND
city of zagreb,City of Zagreb,HRV003,HRV
istria,Istria,HRV004,HRV
medimurje county,Medimurje County,HRV009,HRV
medjimurje,Medjimurje,HRV009,HRV
kvarner,Kvarner,HRV012,HRV
primorje-gorski kotar,Primorje-Gorski Kotar,HRV012,HRV
sibenik-knin,Sibenik-Knin,HRV013,HRV
brod-posavina,Brod-Posavina,HRV015,HRV
slavonski brod-posavina,Slavonski Brod-Posavina,HRV015,HRV
split-dalmatia,Split-Dalmatia,HRV016,HRV
vukovar-syrmia,Vukovar-Syrmia,HRV019,HRV
zadar county,Zadar County,HRV020,HRV
zagreb county,Zagreb County,HRV021,HRV
grand anse,Grand Anse,HTI003,HTI
northwest,Northwest,HTI007,HTI
budapest capital region,Budapest Capital Region,HUN005,HUN
csongrad-csanad,Csongrad-Csanad,HUN006,HUN
north sumatra,North Sumatra,IDN002,IDN
west sumatra,West Sumatra,IDN003,IDN
south sumatra,South Sumatra,IDN006,IDN
west java,West Java,IDN012,IDN
central java,Central Java,IDN013,IDN
special region of yogyakarta,Special Region of Yogyakarta,IDN014,IDN
east java,East Java,IDN015,IDN
east nusa tenggara,East Nusa Tenggara,IDN019,IDN
west kalimantan,West Kalimantan,IDN020,IDN
central kalimantan,Central Kalimantan,IDN021,IDN
south kalimantan,South Kalimantan,IDN022,IDN
east kalimantan,East Kalimantan,IDN023,IDN
north kalimantan,North Kalimantan,IDN024,IDN
north sulawesi,North Sulawesi,IDN025,IDN
central sulawesi,Central Sulawesi,IDN026,IDN
south sulawesi,South Sulawesi,IDN027,IDN
southeast sulawesi,Southeast Sulawesi,IDN028,IDN
south west papua,South West Papua,IDN034,IDN
southwest papua,Southwest Papua,IDN034,IDN
west papua,West Papua,IDN035,IDN
south papua,South Papua,IDN036,IDN
central papua,Central Papua,IDN037,IDN
highland papua,Highland Papua,IDN038,IDN
papua highlands,Papua Highlands,IDN038,IDN
national capital territory,National Capital Territory,IND010,IND
new delhi,New Delhi,IND010,IND
mysore,Mysore,IND017,IND
central province,Central Province,IND020,IND
orissa,Orissa,IND026,IND
pondicherry,Pondicherry,IND027,IND
tamilnadu,Tamilnadu,IND031,IND
united provinces,United Provinces,IND034,IND
uttaranchal,Uttaranchal,IND035,IND
ardabil,Ardabil,IRN001,IRN
chaharmahal and bakhtiari,Chaharmahal and Bakhtiari,IRN003,IRN
isfahan,Isfahan,IRN005,IRN
qazvin,Qazvin,IRN007,IRN
kohgiluyeh and boyer-ahmad,Kohgiluyeh and Boyer-Ahmad,IRN018,IRN
kurdistan,Kurdistan,IRN019,IRN
sistan and balochestan,Sistan and Balochestan,IRN024,IRN
sistan and baluchestan,Sistan and Baluchestan,IRN024,IRN
sistan-baluchestan,Sistan-Baluchestan,IRN024,IRN
west azerbayjan,West Azerbayjan,IRN026,IRN
basra,Basra,IRQ002,IRQ
diwaniyah,Diwaniyah,IRQ005,IRQ
qadisiyyah,Qadisiyyah,IRQ005,IRQ
sulaimaniya,Sulaimaniya,IRQ006,IRQ
dohuk,Dohuk,IRQ010,IRQ
arbil,Arbil,IRQ011,IRQ
irbil,Irbil,IRQ011,IRQ
karbala,Karbala,IRQ012,IRQ
tamim,Tamim,IRQ013,IRQ
missan,Missan,IRQ014,IRQ
mosul,Mosul,IRQ015,IRQ
nineveh,Nineveh,IRQ015,IRQ
saladin,Saladin,IRQ016,IRQ
salah ad-din,Salah ad-Din,IRQ016,IRQ
dhi qar,Dhi Qar,IRQ017,IRQ
nasiriyah,Nasiriyah,IRQ017,IRQ
wasit,Wasit,IRQ018,IRQ
east bardastrands,East Bardastrands,ISL002,ISL
east hunavatns,East Hunavatns,ISL003,ISL
east skaftafell,East Skaftafell,ISL004,ISL
eyjafjordur,Eyjafjordur,ISL007,ISL
north isafjardar,North Isafjardar,ISL011,ISL
north mula,North Mula,ISL012,ISL
north thingeyjarsysla,North Thingeyjarsysla,ISL013,ISL
skagafjordur,Skagafjordur,ISL015,ISL
south mula,South Mula,ISL018,ISL
south thingeyjarsysla,South Thingeyjarsysla,ISL019,ISL
west bardastrands,West Bardastrands,ISL020,ISL
west hunavatn,West Hunavatn,ISL021,ISL
west isafjord,West Isafjord,ISL022,ISL
westfjords,Westfjords,ISL022,ISL
west skaftafell,West Skaftafell,ISL023,ISL
center district,Center District,ISR001,ISR
haifa district,Haifa District,ISR002,ISR
jerusalem district,Jerusalem District,ISR003,ISR
northern district,Northern District,ISR004,ISR
tel aviv district,Tel Aviv District,ISR006,ISR
abruzzo,Abruzzo,ITA001,ITA
lombardy,Lombardy,ITA009,ITA
piedmont,Piedmont,ITA012,ITA
apulia,Apulia,ITA013,ITA
tuscany,Tuscany,ITA016,ITA
south tyrol,South Tyrol,ITA017,ITA
trentino-south tyrol,Trentino-South Tyrol,ITA017,ITA
aosta valley,Aosta Valley,ITA019,ITA
ajlun,Ajlun,JOR001,JOR
al balqa,Al Balqa,JOR004,JOR
jerash,Jerash,JOR006,JOR
kerak,Kerak,JOR007,JOR
maan,Maan,JOR008,JOR
at tafilah,At Tafilah,JOR011,JOR
tafila,Tafila,JOR011,JOR
aichi,Aichi,JPN001,JPN
hiroshima,Hiroshima,JPN007,JPN
fukui,Fukui,JPN009,JPN
fukuoka,Fukuoka,JPN010,JPN
fukushima,Fukushima,JPN011,JPN
hyogo,Hyogo,JPN012,JPN
ishikawa,Ishikawa,JPN014,JPN
kagoshima,Kagoshima,JPN017,JPN
kochi,Kochi,JPN019,JPN
kyoto,Kyoto,JPN021,JPN
oita,Oita,JPN031,JPN
osaka,Osaka,JPN032,JPN
shiga,Shiga,JPN035,JPN
shimane,Shimane,JPN036,JPN
shizuoka,Shizuoka,JPN037,JPN
chiba,Chiba,JPN038,JPN
tokushima,Tokushima,JPN039,JPN
tokyo,Tokyo,JPN040,JPN
tokyo metropolis,Tokyo Metropolis,JPN040,JPN
tochigi,Tochigi,JPN041,JPN
yamaguchi,Yamaguchi,JPN046,JPN
yamanashi,Yamanashi,JPN047,JPN
akmola,Akmola,KAZ001,KAZ
akmola region,Akmola Region,KAZ001,KAZ
aktobe,Aktobe,KAZ002,KAZ
aktobe region,Aktobe Region,KAZ002,KAZ
aktyubinsk region,Aktyubinsk Region,KAZ002,KAZ
almaty oblast,Almaty Oblast,KAZ003,KAZ
almaty region,Almaty Region,KAZ003,KAZ
atyrau,Atyrau,KAZ005,KAZ
atyrau region,Atyrau Region,KAZ005,KAZ
jambyl region,Jambyl Region,KAZ006,KAZ
zhambyl,Zhambyl,KAZ006,KAZ
zhambyl region,Zhambyl Region,KAZ006,KAZ
karaganda,Karaganda,KAZ007,KAZ
karaganda region,Karaganda Region,KAZ007,KAZ
karagandy region,Karagandy Region,KAZ007,KAZ
kostanay,Kostanay,KAZ008,KAZ
kostanay region,Kostanay Region,KAZ008,KAZ
qostanay region,Qostanay Region,KAZ008,KAZ
kyzylorda,Kyzylorda,KAZ009,KAZ
kyzylorda region,Kyzylorda Region,KAZ009,KAZ
mangyshlak region,Mangyshlak Region,KAZ010,KAZ
mangystau,Mangystau,KAZ010,KAZ
mangystau region,Mangystau Region,KAZ010,KAZ
pavlodar,Pavlodar,KAZ011,KAZ
pavlodar region,Pavlodar Region,KAZ011,KAZ
turkestan region,Turkestan Region,KAZ014,KAZ
homa bay county,Homa Bay County,KEN008,KEN
kisumu city,Kisumu City,KEN017,KEN
muranga,Muranga,KEN029,KEN
nairobi city,Nairobi City,KEN030,KEN
taita-taveta,Taita-Taveta,KEN039,KEN
turkana county,Turkana County,KEN043,KEN
uasin gishu county,Uasin Gishu County,KEN044,KEN
chui,Chui,KGZ002,KGZ
chui province,Chui Province,KGZ002,KGZ
jalal-abat,Jalal-Abat,KGZ003,KGZ
osh province,Osh Province,KGZ005,KGZ
issyk-kul,Issyk-Kul,KGZ007,KGZ
issyk-kul province,Issyk-Kul Province,KGZ007,KGZ
kracheh,Kracheh,KHM011,KHM
mondulkiri,Mondulkiri,KHM012,KHM
ratanakiri,Ratanakiri,KHM019,KHM
siem reap,Siem Reap,KHM020,KHM
sihanoukville,Sihanoukville,KHM021,KHM
tbong khmum,Tbong Khmum,KHM025,KHM
basseterre parish,Basseterre Parish,KNA003,KNA
charlestown parish,Charlestown Parish,KNA010,KNA
jeollabuk-do,Jeollabuk-do,KOR002,KOR
north jeolla,North Jeolla,KOR002,KOR
jeollanam-do,Jeollanam-do,KOR003,KOR
south jeolla,South Jeolla,KOR003,KOR
chungcheongbuk-do,Chungcheongbuk-do,KOR004,KOR
north chungcheong,North Chungcheong,KOR004,KOR
chungcheongnam-do,Chungcheongnam-do,KOR005,KOR
south chungcheong,South Chungcheong,KOR005,KOR
incheon,Incheon,KOR006,KOR
gangwon,Gangwon,KOR007,KOR
gangwon-do,Gangwon-do,KOR007,KOR
gwangju,Gwangju,KOR008,KOR
gyeonggi,Gyeonggi,KOR009,KOR
gyeonggi-do,Gyeonggi-do,KOR009,KOR
gyeongsangbuk-do,Gyeongsangbuk-do,KOR010,KOR
north gyeongsang,North Gyeongsang,KOR010,KOR
gyeongsangnam-do,Gyeongsangnam-do,KOR011,KOR
south gyeongsang,South Gyeongsang,KOR011,KOR
busan,Busan,KOR012,KOR
daegu,Daegu,KOR014,KOR
daejeon,Daejeon,KOR015,KOR
farwaniya,Farwaniya,KWT002,KWT
jahra,Jahra,KWT003,KWT
attapeu,Attapeu,LAO001,LAO
bolikhamsai,Bolikhamsai,LAO003,LAO
huaphanh,Huaphanh,LAO005,LAO
khammouane,Khammouane,LAO006,LAO
luang namtha,Luang Namtha,LAO007,LAO
luang prabang,Luang Prabang,LAO008,LAO
oudomxay,Oudomxay,LAO009,LAO
udomxai,Udomxai,LAO009,LAO
salavan,Salavan,LAO011,LAO
sayaboury,Sayaboury,LAO015,LAO
xayaburi,Xayaburi,LAO015,LAO
sekong,Sekong,LAO017,LAO
plain of jars,Plain of Jars,LAO018,LAO
xieng khouang,Xieng Khouang,LAO018,LAO
bekaa valley,Bekaa Valley,LBN004,LBN
beqaa,Beqaa,LBN004,LBN
beqaa valley,Beqaa Valley,LBN004,LBN
mont-liban,Mont-Liban,LBN005,LBN
nabatieh,Nabatieh,LBN006,LBN
nabatiyeh,Nabatiyeh,LBN006,LBN
liban-nord,Liban-Nord,LBN007,LBN
liban-sud,Liban-Sud,LBN008,LBN
green mountain,Green Mountain,LBY004,LBY
ash shati district,Ash Shati District,LBY008,LBY
zawiya,Zawiya,LBY010,LBY
benghazi,Benghazi,LBY011,LBY
derna,Derna,LBY012,LBY
ghadames,Ghadames,LBY013,LBY
misrata,Misrata,LBY015,LBY
sirt,Sirt,LBY020,LBY
mohales hoek,Mohales Hoek,LSO006,LSO
qachas nek,Qachas Nek,LSO008,LSO
alytus,Alytus,LTU001,LTU
alytus county,Alytus County,LTU001,LTU
kaunas,Kaunas,LTU002,LTU
kaunas county,Kaunas County,LTU002,LTU
klaipeda,Klaipeda,LTU003,LTU
klaipeda county,Klaipeda County,LTU003,LTU
marijampole,Marijampole,LTU004,LTU
marijampole county,Marijampole County,LTU004,LTU
panevezys,Panevezys,LTU005,LTU
panevezys county,Panevezys County,LTU005,LTU
siauliai,Siauliai,LTU006,LTU
siauliai county,Siauliai County,LTU006,LTU
taurage,Taurage,LTU007,LTU
taurage county,Taurage County,LTU007,LTU
telsiai,Telsiai,LTU008,LTU
telsiai county,Telsiai County,LTU008,LTU
utena,Utena,LTU009,LTU
utena county,Utena County,LTU009,LTU
vilnius,Vilnius,LTU010,LTU
vilnius county,Vilnius County,LTU010,LTU
aluksne municipality,Aluksne Municipality,LVA008,LVA
balvi municipality,Balvi Municipality,LVA015,LVA
bauska municipality,Bauska Municipality,LVA016,LVA
daugavpils city,Daugavpils City,LVA025,LVA
dvinsk,Dvinsk,LVA025,LVA
karsava municipality,Karsava Municipality,LVA048,LVA
kraslava municipality,Kraslava Municipality,LVA053,LVA
kuldiga municipality,Kuldiga Municipality,LVA056,LVA
limbazu municipality,Limbazu Municipality,LVA060,LVA
ludza municipality,Ludza Municipality,LVA063,LVA
madona municipality,Madona Municipality,LVA064,LVA
ogre municipality,Ogre Municipality,LVA072,LVA
rezekne municipality,Rezekne Municipality,LVA083,LVA
rujiena municipality,Rujiena Municipality,LVA090,LVA
salacgriva municipality,Salacgriva Municipality,LVA092,LVA
saldus municipality,Saldus Municipality,LVA095,LVA
sigulda municipality,Sigulda Municipality,LVA098,LVA
laayoune-saguia al hamra,Laayoune-Saguia al Hamra,MAR007,MAR
laayoune-sakia el hamra,Laayoune-Sakia el Hamra,MAR007,MAR
tighina,Tighina,MDA004,MDA
kishinev,Kishinev,MDA010,MDA
dubossary,Dubossary,MDA015,MDA
pridnestrovie,Pridnestrovie,MDA035,MDA
trans-dniester,Trans-Dniester,MDA035,MDA
transdniestria,Transdniestria,MDA035,MDA
autonomous territorial unit of gagauzia,Autonomous Territorial Unit of Gagauzia,MDA037,MDA
diego suarez,Diego Suarez,MDG030,MDG
majunga,Majunga,MDG032,MDG
tamatave,Tamatave,MDG033,MDG
tulear,Tulear,MDG034,MDG
baja california norte,Baja California Norte,MEX002,MEX
northeastern region,Northeastern Region,MKD002,MKD
pelagonija,Pelagonija,MKD003,MKD
southeastern region,Southeastern Region,MKD006,MKD
southwestern region,Southwestern Region,MKD007,MKD
bamako capital district,Bamako Capital District,MLI001,MLI
bamako district,Bamako District,MLI001,MLI
timbuktu,Timbuktu,MLI009,MLI
timbuktu region,Timbuktu Region,MLI009,MLI
